Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop,Crop_Yield_ton_per_acre
Loamy,14.03,4161,Rainfed,47.66,Zaid,211.8,43.19,5.1,Maize,2.652
Peaty,16.83,2248,Drip,198.18,Summer,321.68,22.37,8.21,Maize,3.172
Sandy,5.75,3363,Sprinkler,82.01,Summer,992.08,18.84,6.79,Potato,5.656
Clay,12.58,1614,Rainfed,72.56,Summer,437.14,34.26,6.86,Maize,2.794
Loamy,12.12,3764,Flood,29.41,Zaid,236.68,16.15,6.3,Tomato,5.161
Sandy,8.03,3590,Rainfed,134.36,Rabi,807.03,41.5,7.43,Tomato,6.358
Sandy,10.24,1563,Flood,137.39,Zaid,629.68,23.53,7.7,Potato,5.772
Silty,6.96,4248,Drip,51.58,Summer,1242.93,34.44,5.64,Potato,6.007
Peaty,3.7,3232,Rainfed,185.46,Rabi,1264.48,29.96,7.26,Tomato,6.732
Clay,5.06,2372,Flood,164.09,Kharif,998.75,11.9,6.86,Tomato,6.601
Loamy,3.0,2469,Drip,61.46,Summer,580.94,34.82,8.13,Maize,2.902
Silty,13.98,1384,Drip,107.45,Rabi,800.11,37.65,7.18,Rice,3.837
Peaty,13.55,4463,Drip,102.51,Rabi,1112.93,44.39,6.72,Tomato,6.994
Silty,19.06,4178,Rainfed,82.73,Rabi,290.1,24.56,7.12,Wheat,2.982
Peaty,14.86,818,Drip,167.17,Summer,632.25,27.6,6.96,Rice,3.705
Peaty,1.99,4316,Drip,39.67,Kharif,1269.08,40.62,8.74,Wheat,3.345
Clay,17.8,4217,Flood,94.76,Rabi,727.84,19.42,6.25,Rice,3.575
Peaty,17.39,3695,Drip,97.05,Summer,1012.07,16.62,5.15,Tomato,6.228
Silty,9.42,1874,Rainfed,104.37,Rabi,325.23,14.65,7.65,Potato,4.981
Peaty,12.13,987,Sprinkler,175.04,Zaid,1210.16,44.24,7.42,Potato,6.026
Clay,19.55,950,Drip,59.27,Rabi,330.61,19.46,8.64,Tomato,5.173
Clay,11.11,852,Rainfed,38.53,Summer,1319.98,36.51,5.47,Rice,3.394
Silty,18.2,2440,Drip,131.21,Rabi,338.58,25.74,7.09,Tomato,6.176
Sandy,2.58,2867,Rainfed,51.29,Rabi,1358.16,18.42,5.6,Rice,3.876
Sandy,4.63,3736,Drip,33.49,Zaid,672.9,41.97,6.82,Tomato,5.556
Peaty,9.37,747,Flood,96.8,Zaid,1011.89,26.23,8.2,Wheat,3.21
Loamy,12.11,4003,Sprinkler,59.54,Summer,1300.52,29.81,8.43,Tomato,6.676
Peaty,16.51,1067,Sprinkler,85.02,Kharif,213.31,17.79,8.34,Rice,2.783
Silty,19.78,1183,Rainfed,66.75,Kharif,545.4,21.35,7.19,Maize,2.604
Silty,8.39,1143,Rainfed,36.67,Kharif,1380.84,36.17,7.54,Potato,6.311
Silty,1.9,978,Sprinkler,120.86,Kharif,704.63,22.01,7.21,Maize,3.511
Silty,16.22,3260,Flood,24.86,Summer,1118.29,27.71,7.24,Tomato,6.095
Silty,12.48,4963,Flood,193.95,Summer,382.02,14.0,8.54,Rice,3.574
Clay,4.77,4952,Drip,81.44,Zaid,1081.88,39.75,5.84,Potato,5.586
Sandy,10.4,1868,Flood,145.13,Zaid,295.11,35.82,6.76,Tomato,5.952
Silty,15.1,2726,Sprinkler,165.87,Kharif,1132.52,36.63,7.44,Maize,3.465
Loamy,15.64,3996,Sprinkler,70.24,Zaid,620.95,16.24,8.06,Potato,4.755
Loamy,10.49,4112,Flood,154.77,Summer,805.6,27.33,8.05,Tomato,6.567
Loamy,6.8,4507,Flood,169.84,Kharif,416.14,10.96,5.47,Potato,4.962
Loamy,19.5,2342,Sprinkler,63.44,Rabi,1016.2,21.03,5.89,Wheat,2.682
Clay,13.6,3877,Sprinkler,198.65,Rabi,638.84,22.18,8.65,Potato,6.347
Loamy,8.76,2914,Sprinkler,23.72,Rabi,698.39,41.98,6.43,Wheat,2.527
Silty,6.33,1559,Sprinkler,59.06,Zaid,1047.85,44.75,5.01,Potato,5.502
Peaty,14.89,2144,Sprinkler,160.4,Kharif,432.52,31.62,5.8,Potato,5.266
Loamy,5.6,2311,Flood,54.94,Rabi,1307.61,28.09,8.88,Potato,6.438
Clay,4.26,2693,Flood,145.69,Kharif,1161.07,25.4,6.24,Wheat,4.183
Clay,11.07,2927,Drip,174.0,Summer,951.05,10.64,7.45,Tomato,6.126
Loamy,6.51,667,Drip,192.66,Rabi,366.83,38.0,7.91,Maize,3.238
Peaty,12.95,4682,Rainfed,105.36,Rabi,1093.24,33.51,7.59,Potato,5.827
Loamy,3.24,653,Drip,194.8,Rabi,223.53,32.73,6.51,Maize,3.23
Clay,13.44,3044,Flood,94.09,Summer,1245.71,38.32,6.72,Maize,3.976
Sandy,6.38,4368,Drip,59.26,Kharif,594.94,42.48,8.35,Potato,4.927
Silty,1.0,814,Drip,112.51,Rabi,352.38,23.63,7.65,Wheat,3.183
Clay,3.41,1222,Flood,136.97,Rabi,413.84,24.92,5.09,Rice,3.078
Loamy,18.74,4131,Sprinkler,102.43,Kharif,1452.07,44.13,5.81,Rice,3.897
Silty,17.48,3845,Flood,122.06,Zaid,1205.98,33.25,6.15,Rice,4.031
Loamy,5.44,3311,Flood,94.95,Zaid,509.23,39.8,6.46,Potato,5.026
Loamy,15.79,2809,Rainfed,114.46,Rabi,1452.51,17.75,7.31,Maize,4.087
Sandy,12.56,3001,Rainfed,191.47,Rabi,382.15,21.1,6.47,Rice,3.809
Silty,19.45,3833,Rainfed,109.97,Zaid,1153.59,23.71,8.3,Potato,6.247
Silty,8.1,2523,Sprinkler,65.57,Zaid,1053.76,21.09,6.9,Potato,6.069
Sandy,13.95,849,Drip,156.57,Rabi,1267.92,40.95,7.01,Potato,6.452
Clay,2.21,1323,Rainfed,80.77,Kharif,696.21,27.9,6.71,Wheat,2.591
Loamy,8.53,937,Flood,166.92,Zaid,722.39,43.38,6.24,Tomato,6.234
Peaty,19.31,668,Rainfed,30.23,Rabi,1011.94,21.25,7.9,Wheat,2.904
Loamy,11.24,4319,Flood,79.79,Summer,717.67,11.3,5.92,Maize,3.289
Loamy,6.47,3914,Sprinkler,36.98,Kharif,253.76,14.83,7.76,Potato,5.124
Clay,3.29,3801,Rainfed,35.36,Rabi,1148.62,17.6,7.12,Wheat,3.43
Loamy,14.37,4618,Flood,138.51,Summer,1033.23,32.4,5.41,Rice,4.65
Sandy,13.25,3535,Drip,89.36,Zaid,750.83,16.34,5.07,Tomato,6.25
Sandy,8.1,4876,Sprinkler,176.87,Summer,593.68,23.35,5.68,Potato,6.245
Silty,19.07,4090,Flood,112.95,Summer,616.94,37.84,8.04,Wheat,2.687
Peaty,1.42,3269,Drip,73.16,Summer,1163.34,14.37,6.54,Rice,3.809
Loamy,6.77,2800,Drip,149.76,Zaid,1147.91,12.82,8.22,Rice,4.36
Loamy,18.5,4999,Flood,132.32,Summer,1264.59,28.9,7.01,Wheat,3.935
Clay,7.1,2680,Rainfed,163.93,Zaid,1190.83,34.43,5.13,Wheat,3.548
Sandy,5.79,3845,Drip,135.85,Rabi,1185.33,41.88,8.38,Maize,3.45
Peaty,11.15,3165,Sprinkler,50.06,Summer,527.31,33.17,8.75,Potato,4.571
Silty,16.65,731,Drip,140.66,Kharif,332.1,43.12,5.3,Rice,3.285
Sandy,2.96,3092,Rainfed,90.48,Rabi,1190.28,18.56,5.83,Maize,3.405
Silty,18.92,4674,Sprinkler,103.37,Zaid,328.2,21.96,7.86,Rice,3.486
Clay,16.11,1558,Sprinkler,185.88,Rabi,1476.74,39.38,8.99,Wheat,4.336
Clay,4.44,3042,Sprinkler,84.79,Summer,1337.62,38.39,8.51,Rice,4.06
Loamy,14.53,1633,Flood,130.15,Zaid,893.5,33.27,5.4,Rice,3.997
Peaty,8.31,4146,Drip,85.43,Summer,657.84,27.71,7.43,Potato,5.836
Silty,8.64,2875,Rainfed,37.05,Rabi,884.9,10.62,7.66,Wheat,3.128
Sandy,15.88,4380,Flood,101.63,Kharif,1154.59,19.82,7.52,Rice,3.39
Clay,19.29,3237,Flood,127.47,Rabi,1183.23,15.54,7.27,Tomato,6.843
Loamy,3.41,2931,Sprinkler,93.35,Rabi,295.77,11.79,6.17,Maize,2.844
Loamy,8.99,1887,Flood,90.32,Summer,1246.31,37.16,7.67,Rice,4.043
Silty,10.14,3803,Drip,167.67,Kharif,1033.95,14.6,7.91,Rice,4.306
Clay,8.15,1937,Flood,25.34,Summer,252.75,22.51,7.3,Maize,2.435
Peaty,7.9,3865,Flood,73.21,Summer,607.11,44.21,6.99,Rice,2.37
Clay,1.99,2229,Sprinkler,166.12,Summer,863.83,24.32,5.88,Wheat,3.499
Silty,14.03,2939,Sprinkler,185.7,Zaid,444.99,14.95,7.18,Rice,3.124
Silty,9.29,3673,Flood,94.21,Summer,401.81,34.14,5.51,Wheat,2.195
Clay,4.7,4407,Sprinkler,179.98,Kharif,218.57,38.35,5.29,Wheat,3.172
Silty,16.5,1816,Rainfed,55.81,Summer,1385.02,19.77,8.11,Wheat,3.396
Clay,16.25,1184,Rainfed,59.86,Summer,272.94,38.33,7.71,Maize,2.586
Sandy,10.24,3088,Rainfed,172.31,Kharif,675.81,19.5,7.6,Wheat,3.429
Clay,6.67,4043,Flood,182.59,Rabi,467.5,34.26,8.71,Rice,4.097
Clay,13.12,3587,Drip,60.11,Summer,1163.34,14.37,6.52,Potato,5.774
Silty,6.47,2175,Drip,30.68,Rabi,1119.34,24.97,6.6,Wheat,3.093
Silty,5.48,2613,Sprinkler,36.26,Summer,1248.09,28.22,6.65,Rice,4.309
Loamy,14.88,1457,Drip,67.05,Summer,1001.85,35.38,6.86,Rice,3.48
Loamy,1.77,4043,Drip,157.06,Zaid,969.15,32.75,7.05,Tomato,6.725
Sandy,2.8,3594,Flood,111.8,Kharif,729.24,39.87,8.11,Rice,3.64
Loamy,1.13,3307,Sprinkler,102.01,Kharif,1027.27,16.45,5.87,Tomato,5.994
Clay,3.91,1320,Drip,125.15,Rabi,349.77,33.14,6.74,Rice,3.589
Silty,2.31,1387,Rainfed,180.24,Zaid,1089.87,14.47,7.02,Wheat,4.187
Loamy,19.92,4228,Sprinkler,36.28,Summer,335.07,26.73,5.68,Tomato,5.142
Loamy,6.49,4493,Sprinkler,145.05,Zaid,1320.26,28.36,7.81,Tomato,6.987
Sandy,3.84,3584,Sprinkler,186.82,Kharif,857.39,10.95,5.23,Tomato,6.912
Sandy,5.58,1375,Rainfed,58.4,Summer,889.46,12.46,7.34,Wheat,2.443
Clay,18.79,4761,Drip,170.8,Summer,960.31,39.37,5.81,Potato,6.215
Silty,10.88,4496,Rainfed,145.64,Rabi,1208.87,20.04,5.03,Wheat,3.463
Sandy,7.93,1056,Sprinkler,22.6,Zaid,822.01,22.12,6.26,Potato,5.282
Loamy,17.59,2714,Sprinkler,61.69,Summer,755.86,32.41,6.72,Wheat,2.853
Silty,8.5,1208,Flood,129.05,Kharif,574.83,17.73,8.27,Rice,3.221
Silty,7.37,1217,Flood,110.43,Rabi,366.45,16.75,6.63,Wheat,2.48
Loamy,4.94,4165,Flood,115.03,Kharif,447.45,24.75,8.66,Potato,5.496
Sandy,8.18,2644,Flood,61.75,Rabi,200.69,12.06,8.37,Maize,2.864
Loamy,7.02,2519,Sprinkler,141.5,Zaid,1330.25,42.09,5.77,Rice,4.34
Silty,13.87,4279,Rainfed,67.96,Rabi,1194.45,42.9,5.62,Tomato,5.685
Peaty,6.5,790,Flood,90.1,Zaid,484.29,25.69,5.98,Wheat,3.061
Peaty,11.97,2683,Rainfed,86.4,Zaid,203.11,17.32,6.44,Rice,2.994
Clay,2.25,4379,Flood,140.96,Summer,839.75,26.47,7.33,Potato,5.825
Loamy,4.63,3436,Drip,36.25,Zaid,736.35,13.5,5.5,Tomato,5.556
Loamy,8.74,2914,Flood,57.0,Rabi,1208.81,23.92,7.13,Potato,6.121
Clay,18.8,2795,Rainfed,56.09,Rabi,723.76,12.58,7.32,Rice,2.784
Clay,8.17,3313,Flood,39.52,Summer,1323.35,34.72,7.64,Rice,3.632
Clay,13.62,1737,Drip,57.37,Rabi,324.59,19.65,7.2,Rice,2.661
Silty,5.85,2617,Rainfed,129.27,Zaid,675.62,28.22,8.3,Rice,3.518
Loamy,3.41,3543,Rainfed,151.79,Rabi,1414.12,10.47,7.57,Potato,6.481
Silty,2.11,3587,Rainfed,138.85,Kharif,215.25,28.36,8.7,Maize,3.057
Clay,6.8,4058,Sprinkler,105.53,Kharif,708.03,10.11,7.8,Rice,3.639
Loamy,4.0,1198,Rainfed,29.44,Summer,537.61,42.38,6.74,Tomato,4.661
Silty,4.31,3353,Sprinkler,192.62,Zaid,891.42,27.54,5.84,Potato,6.223
Silty,15.45,4308,Drip,50.25,Rabi,562.4,13.5,5.04,Wheat,2.552
Clay,1.3,2345,Rainfed,140.32,Summer,1330.88,21.94,5.36,Wheat,3.48
Loamy,11.6,4514,Rainfed,184.32,Summer,1418.28,11.61,5.76,Potato,6.366
Clay,8.21,3682,Rainfed,145.6,Zaid,1303.87,28.58,5.87,Potato,6.454
Loamy,10.62,963,Drip,59.25,Summer,718.14,14.28,7.97,Rice,3.396
Peaty,11.69,4360,Sprinkler,76.84,Kharif,1486.91,26.56,6.54,Potato,6.444
Sandy,6.95,950,Flood,25.44,Summer,1155.55,20.69,6.3,Tomato,5.605
Sandy,6.61,2415,Drip,130.3,Rabi,662.29,36.66,5.21,Wheat,2.892
Sandy,14.93,1423,Drip,130.34,Kharif,321.8,26.88,7.15,Tomato,5.477
Clay,17.55,4122,Drip,150.59,Kharif,1067.16,39.69,7.45,Tomato,6.525
Peaty,4.66,815,Sprinkler,21.98,Kharif,1147.14,42.95,8.51,Rice,3.269
Loamy,2.85,1876,Sprinkler,167.21,Rabi,359.2,43.93,7.01,Potato,5.129
Silty,18.06,3315,Sprinkler,152.97,Zaid,914.66,19.11,5.03,Wheat,4.512
Loamy,7.65,1762,Sprinkler,45.36,Summer,1483.21,36.86,5.26,Wheat,3.157
Silty,11.48,1627,Sprinkler,82.57,Summer,624.11,25.33,6.08,Wheat,3.025
Loamy,7.83,3425,Rainfed,134.93,Kharif,592.46,24.92,5.56,Tomato,6.409
Peaty,3.39,1552,Flood,109.24,Kharif,1374.29,40.39,8.08,Wheat,3.72
Silty,12.2,4684,Flood,40.72,Summer,352.64,15.1,5.43,Wheat,2.532
Clay,10.98,2922,Sprinkler,35.72,Rabi,1413.59,26.72,5.64,Tomato,6.664
Loamy,4.86,3968,Sprinkler,160.66,Kharif,1213.33,30.75,7.67,Rice,4.303
Loamy,9.59,4959,Rainfed,48.07,Kharif,708.09,12.31,5.96,Tomato,5.698
Silty,16.14,4521,Sprinkler,50.98,Rabi,308.61,40.26,8.88,Tomato,5.062
Clay,12.22,4909,Rainfed,169.57,Zaid,224.93,21.0,8.45,Rice,3.27
Clay,2.84,1047,Rainfed,130.19,Kharif,688.58,32.99,7.98,Maize,2.984
Peaty,11.41,4023,Drip,128.85,Zaid,1116.96,42.48,6.37,Maize,3.848
Clay,14.35,2029,Drip,106.28,Rabi,833.79,35.19,5.23,Potato,5.993
Clay,16.06,606,Sprinkler,122.42,Summer,1160.25,41.01,6.35,Potato,5.776
Clay,12.95,1356,Rainfed,128.32,Summer,1071.74,12.43,6.51,Tomato,6.439
Sandy,3.9,3484,Sprinkler,194.21,Zaid,944.78,27.25,5.51,Potato,6.851
Peaty,14.49,4886,Drip,60.14,Kharif,1457.75,29.77,5.48,Maize,4.2
Loamy,13.87,1750,Drip,58.62,Summer,1146.9,34.12,7.67,Potato,6.025
Silty,1.46,2111,Drip,30.3,Rabi,1389.0,14.09,5.93,Maize,3.603
Loamy,8.82,2290,Drip,138.48,Kharif,514.81,32.99,7.71,Maize,3.059
Peaty,7.33,1367,Drip,118.83,Zaid,1127.73,15.11,7.19,Tomato,6.369
Silty,13.72,3269,Sprinkler,40.02,Zaid,977.14,12.37,8.61,Potato,5.495
Peaty,5.11,4753,Sprinkler,85.62,Zaid,1401.58,26.43,8.19,Potato,6.433
Clay,12.23,827,Drip,52.16,Zaid,863.59,31.01,5.61,Rice,3.214
Silty,18.35,4316,Sprinkler,79.67,Rabi,563.53,43.53,7.44,Rice,3.465
Clay,16.16,3648,Drip,191.23,Summer,700.29,34.45,7.61,Maize,4.09
Loamy,18.51,3881,Drip,143.0,Zaid,484.48,30.7,8.45,Tomato,6.324
Loamy,19.59,2874,Drip,21.36,Summer,485.96,17.51,7.56,Wheat,2.894
Silty,1.2,3055,Sprinkler,65.45,Summer,811.55,15.32,5.56,Potato,5.637
Silty,12.83,1630,Sprinkler,21.87,Zaid,1360.34,31.25,6.03,Potato,5.927
Peaty,8.84,4836,Rainfed,148.68,Kharif,449.43,17.8,7.55,Maize,3.264
Peaty,17.34,2982,Sprinkler,104.5,Zaid,574.23,34.73,8.65,Maize,3.007
Clay,5.78,3599,Sprinkler,198.92,Rabi,1308.88,14.01,8.57,Potato,6.582
Silty,19.64,3251,Flood,152.04,Kharif,641.03,21.89,6.44,Maize,3.227
